,IMO,LENGTH ,BREATH,DEPTH,DRAUGHT,TEU,LLINO
210,9629079,334.8,,24.6,14.5,8508.0,10997794
211,9629902,316.0,46.0,25.0,14.54,8560.0,10997800
212,9629031,334.8,,24.6,13.5,8488.0,10997801
213,9619385,255.38,,19.6,12.5,4800.0,10997802
214,9625530,255.4,37.4,22.0,13.5,5023.0,10997803
215,9625281,171.98,27.46,13.8,9.5,1740.0,10997823
216,9622007,249.93,,19.6,13,4896.0,10997836
217,9618599,255.34,,19.6,13,4771.0,10997843
218,9613599,334.93,,24.8,14.65,8888.0,10997844
219,9624275,255.17,,19.5,13.02,4662.0,10997848
220,9622203,333.2,,26.8,14,9669.0,10997854
221,9622019,249.92,,19.6,12.85,4896.0,10997857
222,9625920,170.0,,14.5,8.5,1756.0,10997867
223,9629122,334.8,,24.6,14.5,8508.0,10997882
224,9627978,366.47,,29.8,15.5,13200.0,10997887
225,9612789,223.96,,19.3,12.5,3510.0,10997893
226,9630391,336.92,48.32,27.2,15.7,10100.0,10997898
227,9629457,270.9,,20.2,14.57,6656.0,10997899
228,9622318,266.0,,19.3,12.6,4335.0,10997900
229,9629407,142.98,22.6,11.3,8.2,1000.0,10997915
230,9619969,399.2,60.0,30.3,16,18340.0,10997916
231,9619438,299.18,48.2,21.01,14.52,8886.0,10997917
232,9622253,333.2,48.25,26.8,14,9669.0,10997918
233,9629093,334.8,45.8,20.97,14.24,8508.0,10997919
234,9626405,222.97,,16.8,12.02,2800.0,10997920
235,9625396,254.87,,19.6,12.5,4800.0,10997921
236,9629469,270.9,,20.24,14.57,6622.0,10997922
237,9629914,316.0,46.0,25.0,14.54,8560.0,10997923
238,9628180,299.95,48.33,24.69,14.5,8800.0,10997924
239,9626417,222.97,,16.8,12.02,2800.0,10997925
240,9612791,224.0,,19.3,12.5,3510.0,10997926
241,9622590,366.47,48.2,29.8,14,13200.0,10997927
242,9619983,399.2,,30.3,16,18270.0,10997928
243,9627928,299.9,,24.0,14.5,8704.0,10997929
244,9613018,366.52,,29.85,15.5,13200.0,10997930
245,9628001,366.47,,29.8,14,13200.0,10997931
246,9619464,299.18,,24.8,14.52,8762.0,10997932
247,9623661,256.06,,22.1,13.5,5033.0,10997933
248,9619945,399.2,,30.3,16,18340.0,10997934
249,9631632,147.9,,11.51,8.51,1118.0,10997935
250,9626041,227.95,,19.3,12.5,3832.0,10997937
251,9629108,334.8,,20.97,14.24,8508.0,10997938
252,9619933,399.0,59.0,30.3,16,18270.0,10997940
253,9625906,170.0,30.0,14.5,8.5,1700.0,10997941
254,9612997,366.52,48.35,29.85,15.5,13167.0,10997942
255,9618305,300.01,48.33,24.6,14.5,8800.0,10997943
256,9625918,170.0,30.0,14.5,8.5,1756.0,10997944
257,9622629,366.47,48.2,29.8,15.5,13200.0,10997945
258,9613006,366.47,48.34,29.85,15.5,13200.0,10997946
259,9630420,337.0,48.31,27.2,15.2,10100.0,10997955
260,9629043,334.8,45.79,24.6,14.5,8452.0,10997956
261,9629055,334.8,,20.97,14.24,8508.0,10997957
262,9625542,255.4,37.4,22.1,13.5,5023.0,10997958
263,9630365,336.95,48.31,27.2,15.5,10100.0,10997959
264,9622227,333.2,48.2,26.8,14,9669.0,10997981
265,9627916,299.9,,24.0,14.5,8704.0,10997982
266,9625554,255.4,37.4,22.1,13.5,5023.0,10997983
267,9622631,366.47,48.2,29.8,15.5,13200.0,10997984
268,9628166,299.95,48.2,24.6,14.5,8800.0,10997985
269,9625401,254.9,,19.6,11,4574.0,10997986
270,9622241,333.2,48.29,26.8,14,9700.0,10997987
271,9627904,299.9,,24.8,14.5,8704.0,10997988
272,9618587,255.37,,19.6,12.5,4957.0,10997989
273,9619921,399.0,59.0,30.3,16,18270.0,10997990
274,9612765,223.98,,19.3,12.5,3800.0,10997991
275,9628192,299.95,48.33,24.69,12.5,8800.0,10997997
276,9623673,256.06,,22.1,13.5,5033.0,10997999
277,9630418,337.0,48.31,27.2,15.52,10100.0,10998120
278,9631644,147.9,,11.51,8.51,1118.0,10998122
279,9626560,172.1,,13.7,9.52,1809.0,10998125
280,9619402,255.35,,19.6,13,4957.0,10998600
281,9614488,199.0,,15.5,10.5,2082.0,10998726
282,9637260,365.5,,29.9,15.52,13154.0,11004288
283,9637258,365.5,48.4,29.9,14,13154.0,11004289
284,9637246,365.5,48.4,29.9,14,13154.0,11004290
